ticker,name,environment_score,social_score,governance_score,esg_score,benchmark,esg_gap,true_label,predicted_label,p_safe
acev,ACE Convergence Acquisition Corp,225,211,215,651,1052.0,-401.0,Risk,Risk,0.0
achl,Achilles Therapeutics PLC,230,288,285,803,1052.0,-249.0,Risk,Risk,0.03
achc,Acadia Healthcare Company Inc,330,231,220,781,1052.0,-271.0,Risk,Risk,0.0
aciw,ACI Worldwide Inc,500,327,300,1127,1052.0,75.0,Safe,Safe,1.0
acls,Axcelis Technologies Inc,515,306,260,1081,1052.0,29.0,Safe,Safe,0.98
aciu,AC Immune SA,250,296,305,851,1052.0,-201.0,Risk,Risk,0.005
achv,Achieve Life Sciences Inc,215,222,305,742,1052.0,-310.0,Risk,Risk,0.0
acmr,ACM Research Inc,410,232,325,967,1052.0,-85.0,Risk,Risk,0.03
acor,Acorda Therapeutics Inc,230,307,310,847,1052.0,-205.0,Risk,Risk,0.0
acnb,ACNB Corp,220,219,215,654,1052.0,-398.0,Risk,Risk,0.0
acrs,Aclaris Therapeutics Inc,230,207,220,657,1052.0,-395.0,Risk,Risk,0.0
acrx,AcelRx Pharmaceuticals Inc,200,237,300,737,1052.0,-315.0,Risk,Risk,0.0
act,Enact Holdings Inc,540,328,315,1183,1052.0,131.0,Safe,Safe,1.0
actg,Acacia Research Corp,200,200,275,675,1052.0,-377.0,Risk,Risk,0.0
acva,ACV Auctions Inc,235,262,315,812,1052.0,-240.0,Risk,Risk,0.005
adag,Adagene Inc,295,301,305,901,1052.0,-151.0,Risk,Risk,0.0
acxp,Acurx Pharmaceuticals Inc,235,301,305,841,1052.0,-211.0,Risk,Risk,0.0
adbe,Adobe Inc,200,221,200,621,1052.0,-431.0,Risk,Risk,0.0
adap,Adaptimmune Therapeutics PLC,365,283,305,953,1052.0,-99.0,Risk,Risk,0.015
adma,ADMA Biologics Inc,240,264,320,824,1052.0,-228.0,Risk,Risk,0.015
ades,Advanced Emissions Solutions Inc,205,201,300,706,1052.0,-346.0,Risk,Risk,0.0
adi,Analog Devices Inc,350,318,300,968,1052.0,-84.0,Risk,Risk,0.01
adil,Adial Pharmaceuticals Inc,200,203,300,703,1052.0,-349.0,Risk,Risk,0.0
admp,Adamis Pharmaceuticals Corp,285,204,215,704,1052.0,-348.0,Risk,Risk,0.0
acer,Acer Therapeutics Inc,223,291,310,824,1052.0,-228.0,Risk,Risk,0.005
adoc,Edoc Acquisition Corp,215,301,300,816,1052.0,-236.0,Risk,Risk,0.005
adus,Addus Homecare Corp,210,215,218,643,1052.0,-409.0,Risk,Risk,0.0
acgl,Arch Capital Group Ltd,500,300,300,1100,1052.0,48.0,Safe,Safe,1.0
adpt,Adaptive Biotechnologies Corp,260,348,260,868,1052.0,-184.0,Risk,Risk,0.03
adsk,Autodesk Inc,555,304,310,1169,1052.0,117.0,Safe,Safe,1.0
adp,Automatic Data Processing Inc,500,300,200,1000,1052.0,-52.0,Risk,Risk,0.0
adtx,Aditxt Inc,210,224,305,739,1052.0,-313.0,Risk,Risk,0.0
adv,Advantage Solutions Inc,515,269,328,1112,1052.0,60.0,Safe,Safe,0.925
advm,Adverum Biotechnologies Inc,262,321,235,818,1052.0,-234.0,Risk,Risk,0.01
aehr,Aehr Test Systems,290,262,300,852,1052.0,-200.0,Risk,Risk,0.0
aehl,Antelope Enterprise Holdings Ltd,238,237,325,800,1052.0,-252.0,Risk,Risk,0.0
aei,Alset Ehome International Inc,520,207,210,937,1052.0,-115.0,Risk,Risk,0.0
aeis,Advanced Energy Industries Inc,500,300,300,1100,1052.0,48.0,Safe,Safe,1.0
aep,American Electric Power Company Inc,500,300,300,1100,1052.0,48.0,Safe,Safe,1.0
aemd,Aethlon Medical Inc,200,262,315,777,1052.0,-275.0,Risk,Risk,0.005
aese,Allied Esports Entertainment Inc,200,200,200,600,1052.0,-452.0,Risk,Risk,0.0
aeye,AudioEye Inc,235,301,308,844,1052.0,-208.0,Risk,Risk,0.01
aeri,Aerie Pharmaceuticals Inc,500,264,310,1074,1052.0,22.0,Safe,Safe,0.875
aey,ADDvantage Technologies Group Inc,235,234,300,769,1052.0,-283.0,Risk,Risk,0.0
afaq,AF Acquisition Corp,200,200,200,600,1052.0,-452.0,Risk,Risk,0.0
afmd,Affimed NV,368,304,310,982,1052.0,-70.0,Risk,Risk,0.015
afcg,AFC Gamma Inc,255,204,226,685,1052.0,-367.0,Risk,Risk,0.0
afbi,Affinity Bancshares Inc,200,207,200,607,1052.0,-445.0,Risk,Risk,0.0
afrm,Affirm Holdings Inc,225,335,335,895,1052.0,-157.0,Risk,Risk,0.035
afib,Acutus Medical Inc,205,211,235,651,1052.0,-401.0,Risk,Risk,0.0
agen,Agenus Inc,290,245,300,835,1052.0,-217.0,Risk,Risk,0.0
afya,Afya Ltd,290,203,205,698,1052.0,-354.0,Risk,Risk,0.0
agfs,AgroFresh Solutions Inc,500,301,275,1076,1052.0,24.0,Safe,Safe,0.835
agfy,Agrify Corp,540,361,305,1206,1052.0,154.0,Safe,Safe,1.0
agil,AgileThought Inc,340,299,305,944,1052.0,-108.0,Risk,Risk,0.02
agmh,AGM Group Holdings Inc,205,204,210,619,1052.0,-433.0,Risk,Risk,0.0
agio,Agios Pharmaceuticals Inc,520,303,325,1148,1052.0,96.0,Safe,Safe,1.0
agle,Aeglea Bio Therapeutics Inc,205,223,200,628,1052.0,-424.0,Risk,Risk,0.0
agnc,AGNC Investment Corp,382,242,305,929,1052.0,-123.0,Risk,Risk,0.0
agri,AgriFORCE Growing Systems Ltd,510,248,305,1063,1052.0,11.0,Safe,Safe,0.715
agrx,Agile Therapeutics Inc,240,203,260,703,1052.0,-349.0,Risk,Risk,0.005
agys,Agilysys Inc,500,303,300,1103,1052.0,51.0,Safe,Safe,1.0
agtc,Applied Genetic Technologies Corp,235,323,305,863,1052.0,-189.0,Risk,Risk,0.015
ahco,Adapthealth Corp,210,211,235,656,1052.0,-396.0,Risk,Risk,0.0
ahpi,Allied Healthcare Products Inc,210,228,325,763,1052.0,-289.0,Risk,Risk,0.0
aib,AIB Acquisition Corp,215,227,300,742,1052.0,-310.0,Risk,Risk,0.0
adtn,ADTRAN Inc,510,308,300,1118,1052.0,66.0,Safe,Safe,1.0
adn,Advent Technologies Holdings Inc,250,203,220,673,1052.0,-379.0,Risk,Risk,0.0
aiki,Aikido Pharma Inc,200,235,205,640,1052.0,-412.0,Risk,Risk,0.0
akic,Sports Ventures Acquisition Corp,200,205,230,635,1052.0,-417.0,Risk,Risk,0.0
aip,Arteris Inc,500,286,300,1086,1052.0,34.0,Safe,Safe,0.88
akro,Akero Therapeutics Inc,250,246,305,801,1052.0,-251.0,Risk,Risk,0.005
airt,Air T Inc,234,210,325,769,1052.0,-283.0,Risk,Risk,0.0
aimc,Altra Industrial Motion Corp,525,315,305,1145,1052.0,93.0,Safe,Safe,1.0
akba,Akebia Therapeutics Inc,200,218,215,633,1052.0,-419.0,Risk,Risk,0.0
airg,Airgain Inc,500,300,330,1130,1052.0,78.0,Safe,Safe,1.0
airs,Airsculpt Technologies Inc,210,201,205,616,1052.0,-436.0,Risk,Risk,0.0
akam,Akamai Technologies Inc,515,341,305,1161,1052.0,109.0,Safe,Safe,1.0
aku,Akumin Inc,455,347,300,1102,1052.0,50.0,Safe,Safe,0.99
akus,Akouos Inc,205,221,295,721,1052.0,-331.0,Risk,Risk,0.0
akts,Akoustis Technologies Inc,222,302,428,952,1052.0,-100.0,Risk,Risk,0.07
aktx,Akari Therapeutics PLC,225,216,305,746,1052.0,-306.0,Risk,Risk,0.0
albo,Albireo Pharma Inc,500,300,310,1110,1052.0,58.0,Safe,Safe,1.0
akya,Akoya Biosciences Inc,512,303,215,1030,1052.0,-22.0,Risk,Risk,0.12
alco,Alico Inc,500,300,300,1100,1052.0,48.0,Safe,Safe,1.0
aldx,Aldeyra Therapeutics Inc,231,261,235,727,1052.0,-325.0,Risk,Risk,0.0
alec,Alector Inc,240,277,300,817,1052.0,-235.0,Risk,Risk,0.025
algm,Allegro Microsystems Inc,542,314,250,1106,1052.0,54.0,Safe,Safe,1.0
alf,Alfi Inc,225,260,315,800,1052.0,-252.0,Risk,Risk,0.005
algn,Align Technology Inc,235,285,255,775,1052.0,-277.0,Risk,Risk,0.0
algs,Aligos Therapeutics Inc,210,222,235,667,1052.0,-385.0,Risk,Risk,0.0
alhc,Alignment Healthcare LLC,210,302,256,768,1052.0,-284.0,Risk,Risk,0.005
alks,Alkermes Plc,415,302,333,1050,1052.0,-2.0,Risk,Risk,0.185
alim,Alimera Sciences Inc,220,228,243,691,1052.0,-361.0,Risk,Risk,0.0
algt,Allegiant Travel Co,287,208,248,743,1052.0,-309.0,Risk,Risk,0.0
aih,Aesthetic Medical International Holdings Group Ltd,220,250,300,770,1052.0,-282.0,Risk,Risk,0.015
alkt,Alkami Technology Inc,280,305,260,845,1052.0,-207.0,Risk,Risk,0.01
alny,Alnylam Pharmaceuticals Inc,331,346,325,1002,1052.0,-50.0,Risk,Risk,0.015
allt,Allot Ltd,508,324,310,1142,1052.0,90.0,Safe,Safe,1.0
allo,Allogene Therapeutics Inc,535,324,305,1164,1052.0,112.0,Safe,Safe,0.995
amat,Applied Materials Inc,525,317,300,1142,1052.0,90.0,Safe,Safe,0.995
amd,Advanced Micro Devices Inc,200,208,200,608,1052.0,-444.0,Risk,Risk,0.0
atvi,Activision Blizzard Inc,280,347,330,957,1052.0,-95.0,Risk,Risk,0.01
avgo,Broadcom Inc,210,212,200,622,1052.0,-430.0,Risk,Risk,0.0
anss,ANSYS Inc,580,337,285,1202,1052.0,150.0,Safe,Safe,0.945
amzn,Amazon.com Inc,668,305,460,1433,1052.0,381.0,Safe,Safe,0.98
aihs,Senmiao Technology Ltd,220,203,200,623,1052.0,-429.0,Risk,Risk,0.0
apa,APA Corp (US),510,316,325,1151,1052.0,99.0,Safe,Safe,1.0
biib,Biogen Inc,380,303,364,1047,1052.0,-5.0,Risk,Risk,0.05
bkng,Booking Holdings Inc,558,306,310,1174,1052.0,122.0,Safe,Safe,0.995
cdns,Cadence Design Systems Inc,500,308,295,1103,1052.0,51.0,Safe,Safe,0.94
cdw,CDW Corp,225,209,200,634,1052.0,-418.0,Risk,Risk,0.0
chrw,CH Robinson Worldwide Inc,575,330,338,1243,1052.0,191.0,Safe,Safe,1.0
cinf,Cincinnati Financial Corp,235,275,250,760,1052.0,-292.0,Risk,Risk,0.0
chtr,Charter Communications Inc,500,300,300,1100,1052.0,48.0,Safe,Safe,1.0
cmcsa,Comcast Corp,507,343,315,1165,1052.0,113.0,Safe,Safe,1.0
cprt,Copart Inc,270,204,205,679,1052.0,-373.0,Risk,Risk,0.0
cost,Costco Wholesale Corp,537,306,225,1068,1052.0,16.0,Safe,Safe,0.815
csx,CSX Corp,510,310,325,1145,1052.0,93.0,Safe,Safe,1.0
ctsh,Cognizant Technology Solutions Corp,605,365,300,1270,1052.0,218.0,Safe,Safe,1.0
cme,CME Group Inc,375,237,200,812,1052.0,-240.0,Risk,Risk,0.0
csco,Cisco Systems Inc,280,234,220,734,1052.0,-318.0,Risk,Risk,0.0
ctas,Cintas Corp,500,300,300,1100,1052.0,48.0,Safe,Safe,1.0
ctxs,Citrix Systems Inc,530,305,305,1140,1052.0,88.0,Safe,Safe,0.995
czr,Caesars Entertainment Inc,265,228,200,693,1052.0,-359.0,Risk,Risk,0.0
dish,DISH Network Corp,210,263,205,678,1052.0,-374.0,Risk,Risk,0.0
dltr,Dollar Tree Inc,235,208,215,658,1052.0,-394.0,Risk,Risk,0.0
dxcm,Dexcom Inc,215,236,215,666,1052.0,-386.0,Risk,Risk,0.0
ea,Electronic Arts Inc,360,300,225,885,1052.0,-167.0,Risk,Risk,0.0
lnt,Alliant Energy Corp,519,307,300,1126,1052.0,74.0,Safe,Safe,1.0
fang,Diamondback Energy Inc,513,271,300,1084,1052.0,32.0,Safe,Safe,0.925
ebay,eBay Inc,500,302,305,1107,1052.0,55.0,Safe,Safe,0.99
lkq,LKQ Corp,515,300,305,1120,1052.0,68.0,Safe,Safe,1.0
googl,Alphabet Inc,295,362,355,1012,1052.0,-40.0,Risk,Risk,0.195
mar,Marriott International Inc,215,200,215,630,1052.0,-422.0,Risk,Risk,0.0
mchp,Microchip Technology Inc,500,300,300,1100,1052.0,48.0,Safe,Safe,1.0
lrcx,Lam Research Corp,510,325,315,1150,1052.0,98.0,Safe,Safe,1.0
mdlz,Mondelez International Inc,520,307,300,1127,1052.0,75.0,Safe,Safe,1.0
meta,Meta Platforms Inc,205,232,215,652,1052.0,-400.0,Risk,Risk,0.0
mktx,Marketaxess Holdings Inc,230,213,210,653,1052.0,-399.0,Risk,Risk,0.0
mnst,Monster Beverage Corp,515,344,300,1159,1052.0,107.0,Safe,Safe,1.0
mrna,Moderna Inc,500,300,300,1100,1052.0,48.0,Safe,Safe,1.0
mtch,Match Group Inc,245,389,311,945,1052.0,-107.0,Risk,Risk,0.145
mpwr,Monolithic Power Systems Inc,330,287,235,852,1052.0,-200.0,Risk,Risk,0.0
msft,Microsoft Corp,715,443,375,1533,1052.0,481.0,Safe,Safe,1.0
mu,Micron Technology Inc,530,330,300,1160,1052.0,108.0,Safe,Safe,0.995
ndaq,Nasdaq Inc,505,310,300,1115,1052.0,63.0,Safe,Safe,1.0
nlok,NortonLifeLock Inc,505,315,305,1125,1052.0,73.0,Safe,Safe,1.0
ntrs,Northern Trust Corp,250,226,225,701,1052.0,-351.0,Risk,Risk,0.0
nwl,Newell Brands Inc,525,303,315,1143,1052.0,91.0,Safe,Safe,1.0
nvda,NVIDIA Corp,323,301,275,899,1052.0,-153.0,Risk,Risk,0.0
allk,Allakos Inc,200,273,300,773,1052.0,-279.0,Risk,Risk,0.03
nwsa,News Corp,509,300,300,1109,1052.0,57.0,Safe,Safe,0.985
odfl,Old Dominion Freight Line Inc,467,423,280,1170,1052.0,118.0,Safe,Safe,0.95
pcar,Paccar Inc,568,343,305,1216,1052.0,164.0,Safe,Safe,1.0
nxpi,NXP Semiconductors NV,505,329,305,1139,1052.0,87.0,Safe,Safe,1.0
orly,O'Reilly Automotive Inc,500,300,300,1100,1052.0,48.0,Safe,Safe,1.0
payx,Paychex Inc,500,300,200,1000,1052.0,-52.0,Risk,Risk,0.0
pfg,Principal Financial Group Inc,555,320,300,1175,1052.0,123.0,Safe,Safe,1.0
rost,Ross Stores Inc,375,325,300,1000,1052.0,-52.0,Risk,Risk,0.01
sbac,SBA Communications Corp,250,251,215,716,1052.0,-336.0,Risk,Risk,0.0
qcom,Qualcomm Inc,409,300,300,1009,1052.0,-43.0,Risk,Risk,0.03
pool,Pool Corp,525,306,313,1144,1052.0,92.0,Safe,Safe,1.0
pep,PepsiCo Inc,719,340,358,1417,1052.0,365.0,Safe,Safe,1.0
sbux,Starbucks Corp,475,385,295,1155,1052.0,103.0,Safe,Safe,0.975
reg,Regency Centers Corp,575,372,365,1312,1052.0,260.0,Safe,Safe,1.0
qrvo,Qorvo Inc,535,310,305,1150,1052.0,98.0,Safe,Safe,1.0
ptc,PTC Inc,550,302,308,1160,1052.0,108.0,Safe,Safe,0.985
penn,PENN Entertainment Inc,371,300,220,891,1052.0,-161.0,Risk,Risk,0.0
pypl,PayPal Holdings Inc,370,244,285,899,1052.0,-153.0,Risk,Risk,0.0
regn,Regeneron Pharmaceuticals Inc,505,327,305,1137,1052.0,85.0,Safe,Safe,1.0
amgn,Amgen Inc,575,312,328,1215,1052.0,163.0,Safe,Safe,1.0
snps,Synopsys Inc,525,316,315,1156,1052.0,104.0,Safe,Safe,1.0
stx,Seagate Technology Holdings PLC,540,355,300,1195,1052.0,143.0,Safe,Safe,1.0
tech,Bio-Techne Corp,510,268,300,1078,1052.0,26.0,Safe,Safe,0.97
ter,Teradyne Inc,507,328,315,1150,1052.0,98.0,Safe,Safe,1.0
swks,Skyworks Solutions Inc,515,303,270,1088,1052.0,36.0,Safe,Safe,0.905
trmb,Trimble Inc,550,415,315,1280,1052.0,228.0,Safe,Safe,1.0
trow,T Rowe Price Group Inc,510,325,310,1145,1052.0,93.0,Safe,Safe,1.0
ttwo,Take-Two Interactive Software Inc,225,307,310,842,1052.0,-210.0,Risk,Risk,0.0
tsla,Tesla Inc,555,160,278,993,1052.0,-59.0,Risk,Risk,0.115
tsco,Tractor Supply Co,500,300,200,1000,1052.0,-52.0,Risk,Risk,0.0
txn,Texas Instruments Inc,500,300,300,1100,1052.0,48.0,Safe,Safe,1.0
tmus,T-Mobile US Inc,342,331,230,903,1052.0,-149.0,Risk,Risk,0.005
ual,United Airlines Holdings Inc,205,203,221,629,1052.0,-423.0,Risk,Risk,0.0
vrsk,Verisk Analytics Inc,615,366,300,1281,1052.0,229.0,Safe,Safe,1.0
ulta,Ulta Beauty Inc,205,242,200,647,1052.0,-405.0,Risk,Risk,0.0
vrtx,Vertex Pharmaceuticals Inc,500,300,300,1100,1052.0,48.0,Safe,Safe,1.0
vtrs,Viatris Inc,500,300,200,1000,1052.0,-52.0,Risk,Risk,0.0
vrsn,Verisign Inc,548,354,325,1227,1052.0,175.0,Safe,Safe,1.0
wba,Walgreens Boots Alliance Inc,515,325,300,1140,1052.0,88.0,Safe,Safe,1.0
ntap,NetApp Inc,545,359,325,1229,1052.0,177.0,Safe,Safe,1.0
xel,Xcel Energy Inc,223,201,205,629,1052.0,-423.0,Risk,Risk,0.0
xray,DENTSPLY SIRONA Inc,530,318,305,1153,1052.0,101.0,Safe,Safe,0.995
zbra,Zebra Technologies Corp,320,317,300,937,1052.0,-115.0,Risk,Risk,0.005
aap,Advance Auto Parts Inc,264,261,210,735,1052.0,-317.0,Risk,Risk,0.0
zion,Zions Bancorporation NA,200,200,200,600,1052.0,-452.0,Risk,Risk,0.0
wynn,Wynn Resorts Ltd,225,201,200,626,1052.0,-426.0,Risk,Risk,0.0
a,Agilent Technologies Inc,573,231,233,1037,1052.0,-15.0,Risk,Risk,0.075
abbv,Abbvie Inc,505,317,300,1122,1052.0,70.0,Safe,Safe,0.995
abc,Amerisourcebergen Corp,505,300,315,1120,1052.0,68.0,Safe,Safe,0.995
adm,Archer-Daniels-Midland Co,587,353,305,1245,1052.0,193.0,Safe,Safe,1.0
abt,Abbott Laboratories,515,305,305,1125,1052.0,73.0,Safe,Safe,0.995
aee,Ameren Corp,562,345,300,1207,1052.0,155.0,Safe,Safe,1.0
aes,AES Corp,525,326,370,1221,1052.0,169.0,Safe,Safe,1.0
afl,Aflac Inc,454,300,235,989,1052.0,-63.0,Risk,Risk,0.06
acn,Accenture PLC,515,360,305,1180,1052.0,128.0,Safe,Safe,1.0
ajg,Arthur J. Gallagher & Co.,530,344,310,1184,1052.0,132.0,Safe,Safe,1.0
aiz,Assurant Inc,438,316,300,1054,1052.0,2.0,Safe,Safe,0.85
alk,Alaska Air Group Inc,515,303,259,1077,1052.0,25.0,Safe,Safe,0.985
alb,Albemarle Corp,545,322,315,1182,1052.0,130.0,Safe,Safe,1.0
aig,American International Group Inc,518,323,310,1151,1052.0,99.0,Safe,Safe,0.995
all,Allstate Corp,530,300,220,1050,1052.0,-2.0,Risk,Risk,0.345
alle,Allegion PLC,542,322,315,1179,1052.0,127.0,Safe,Safe,1.0
amp,Ameriprise Financial Inc,396,308,267,971,1052.0,-81.0,Risk,Risk,0.01
ame,AMETEK Inc,540,329,270,1139,1052.0,87.0,Safe,Safe,0.89
amt,American Tower Corp,530,333,305,1168,1052.0,116.0,Safe,Safe,1.0
aos,A O Smith Corp,510,315,310,1135,1052.0,83.0,Safe,Safe,0.995
apd,Air Products and Chemicals Inc,700,442,300,1442,1052.0,390.0,Safe,Safe,1.0
aon,Aon PLC,485,304,288,1077,1052.0,25.0,Safe,Safe,0.95
anet,Arista Networks Inc,444,310,295,1049,1052.0,-3.0,Risk,Risk,0.29
aph,Amphenol Corp,512,303,475,1290,1052.0,238.0,Safe,Safe,0.94
ato,Atmos Energy Corp,572,368,315,1255,1052.0,203.0,Safe,Safe,1.0
awk,American Water Works Company Inc,653,395,300,1348,1052.0,296.0,Safe,Safe,1.0
are,Alexandria Real Estate Equities Inc,600,337,345,1282,1052.0,230.0,Safe,Safe,1.0
aptv,Aptiv PLC,555,339,310,1204,1052.0,152.0,Safe,Safe,1.0
avb,Avalonbay Communities Inc,500,300,298,1098,1052.0,46.0,Safe,Safe,1.0
avy,Avery Dennison Corp,535,347,325,1207,1052.0,155.0,Safe,Safe,0.98
ba,Boeing Co,220,224,235,679,1052.0,-373.0,Risk,Risk,0.0
bac,Bank of America Corp,220,394,265,879,1052.0,-173.0,Risk,Risk,0.04
bax,Baxter International Inc,500,316,300,1116,1052.0,64.0,Safe,Safe,1.0
bbwi,Bath & Body Works Inc,525,303,300,1128,1052.0,76.0,Safe,Safe,1.0
bdx,Becton Dickinson and Co,607,384,315,1306,1052.0,254.0,Safe,Safe,1.0
bio,Bio Rad Laboratories Inc,275,227,300,802,1052.0,-250.0,Risk,Risk,0.0
bby,Best Buy Co Inc,430,231,300,961,1052.0,-91.0,Risk,Risk,0.12
bk,Bank of New York Mellon Corp,500,300,300,1100,1052.0,48.0,Safe,Safe,1.0
axp,American Express Co,230,226,208,664,1052.0,-388.0,Risk,Risk,0.0
br,Broadridge Financial Solutions Inc,550,313,325,1188,1052.0,136.0,Safe,Safe,1.0
bmy,Bristol-Myers Squibb Co,500,321,310,1131,1052.0,79.0,Safe,Safe,1.0
bro,Brown & Brown Inc,405,320,300,1025,1052.0,-27.0,Risk,Risk,0.045
azo,Autozone Inc,260,222,213,695,1052.0,-357.0,Risk,Risk,0.0
bsx,Boston Scientific Corp,525,399,300,1224,1052.0,172.0,Safe,Safe,1.0
bx,Blackstone Inc,534,343,320,1197,1052.0,145.0,Safe,Safe,1.0
bxp,Boston Properties Inc,532,339,305,1176,1052.0,124.0,Safe,Safe,1.0
sivb,SVB Financial Group,510,340,300,1150,1052.0,98.0,Safe,Safe,1.0
c,Citigroup Inc,515,300,303,1118,1052.0,66.0,Safe,Safe,1.0
cat,Caterpillar Inc,235,239,235,709,1052.0,-343.0,Risk,Risk,0.0
carr,Carrier Global Corp,210,258,226,694,1052.0,-358.0,Risk,Risk,0.0
cbre,CBRE Group Inc,200,209,200,609,1052.0,-443.0,Risk,Risk,0.0
cci,Crown Castle Inc,500,300,200,1000,1052.0,-52.0,Risk,Risk,0.0
cday,Ceridian HCM Holding Inc,530,379,320,1229,1052.0,177.0,Safe,Safe,1.0
cma,Comerica Inc,280,300,230,810,1052.0,-242.0,Risk,Risk,0.0
dhi,D R Horton Inc,250,271,205,726,1052.0,-326.0,Risk,Risk,0.03
dov,Dover Corp,500,320,305,1125,1052.0,73.0,Safe,Safe,0.995
dri,Darden Restaurants Inc,515,309,300,1124,1052.0,72.0,Safe,Safe,1.0
ce,Celanese Corp,500,319,300,1119,1052.0,67.0,Safe,Safe,1.0
dg,Dollar General Corp,247,222,200,669,1052.0,-383.0,Risk,Risk,0.0
cmg,Chipotle Mexican Grill Inc,210,241,213,664,1052.0,-388.0,Risk,Risk,0.0
dgx,Quest Diagnostics Inc,230,300,205,735,1052.0,-317.0,Risk,Risk,0.0
ccl,Carnival Corp,515,326,320,1161,1052.0,109.0,Safe,Safe,1.0
chd,Church & Dwight Co Inc,578,341,348,1267,1052.0,215.0,Safe,Safe,1.0
dow,Dow Inc,225,201,200,626,1052.0,-426.0,Risk,Risk,0.0
dfs,Discover Financial Services,335,321,313,969,1052.0,-83.0,Risk,Risk,0.02
duk,Duke Energy Corp,604,362,328,1294,1052.0,242.0,Safe,Safe,1.0
dre,Duke Realty Corp,540,313,300,1153,1052.0,101.0,Safe,Safe,1.0
cf,CF Industries Holdings Inc,525,307,310,1142,1052.0,90.0,Safe,Safe,0.995
dvn,Devon Energy Corp,570,301,300,1171,1052.0,119.0,Safe,Safe,1.0
ecl,Ecolab Inc,547,373,325,1245,1052.0,193.0,Safe,Safe,1.0
hd,Home Depot Inc,230,317,205,752,1052.0,-300.0,Risk,Risk,0.02
dte,DTE Energy Co,592,313,210,1115,1052.0,63.0,Safe,Safe,0.855
eix,Edison International,700,513,315,1528,1052.0,476.0,Safe,Safe,0.99
glw,Corning Inc,200,200,200,600,1052.0,-452.0,Risk,Risk,0.0
dva,DaVita Inc,260,332,300,892,1052.0,-160.0,Risk,Risk,0.015
wdc,Western Digital Corp,545,339,260,1144,1052.0,92.0,Safe,Safe,0.98
gs,Goldman Sachs Group Inc,525,305,305,1135,1052.0,83.0,Safe,Safe,0.995
dxc,DXC Technology Co,505,326,305,1136,1052.0,84.0,Safe,Safe,1.0
etn,Eaton Corporation PLC,520,328,320,1168,1052.0,116.0,Safe,Safe,1.0
ed,Consolidated Edison Inc,700,358,300,1358,1052.0,306.0,Safe,Safe,1.0
